assemblea,codice,status,elettori,votanti,perc_votanti,aggiornamento,sezioni_perv,sezioni,coll_uni_perv,coll_uni,sezioni_coll_uni_perv,sk_bianche,sk_nulle,sk_contestate,livello,fine_riparto
scrutiniCI,01000000000,ESERCIZIO,1747346,-,-,Dato aggiornato al 05/03/2018 - 10:30,2225,2322,5,9,0,-,-,-,I,
scrutiniCI,02000000000,ESERCIZIO,1632591,-,-,Dato aggiornato al 05/03/2018 - 10:10,2478,2493,4,8,0,-,-,-,I,
scrutiniCI,03000000000,ESERCIZIO,2963196,-,-,Dato aggiornato al 05/03/2018 - 10:26,3421,3547,2,15,0,-,-,-,I,
scrutiniCI,04000000000,ESERCIZIO,1646708,-,-,Dato aggiornato al 05/03/2018 - 10:30,1460,1983,0,8,0,-,-,-,I,
scrutiniCI,05000000000,ESERCIZIO,1637008,-,-,Dato aggiornato al 05/03/2018 - 10:17,1912,1996,2,8,0,-,-,-,I,
scrutiniCI,06000000000,ESERCIZIO,1249579,-,-,Dato aggiornato al 05/03/2018 - 10:18,1618,1701,3,6,0,-,-,-,I,
scrutiniCI,07000000000,ESERCIZIO,1485726,-,-,Dato aggiornato al 05/03/2018 - 09:57,1881,1883,6,8,0,-,-,-,I,
scrutiniCI,08000000000,ESERCIZIO,2241715,-,-,Dato aggiornato al 05/03/2018 - 10:25,2825,2856,8,11,0,-,-,-,I,
scrutiniCI,09000000000,ESERCIZIO,950403,-,-,Dato aggiornato al 05/03/2018 - 10:22,1364,1369,2,5,0,-,-,-,I,
scrutiniCI,11000000000,ESERCIZIO,3326889,-,-,Dato aggiornato al 05/03/2018 - 10:28,4451,4510,13,17,0,-,-,-,I,
scrutiniCI,12000000000,ESERCIZIO,2841131,-,-,Dato aggiornato al 05/03/2018 - 10:30,3909,3954,11,14,0,-,-,-,I,
scrutiniCI,13000000000,ESERCIZIO,672313,525978,"78,23",Dato aggiornato al 05/03/2018 - 10:08,1005,1005,3,3,0,5339,14618,81,I,
scrutiniCI,14000000000,ESERCIZIO,1184079,-,-,Dato aggiornato al 05/03/2018 - 09:52,1569,1574,4,6,0,-,-,-,I,
scrutiniCI,15000000000,ESERCIZIO,2890202,-,-,Dato aggiornato al 05/03/2018 - 10:30,2883,3473,0,14,0,-,-,-,I,
scrutiniCI,16000000000,ESERCIZIO,1502774,-,-,Dato aggiornato al 05/03/2018 - 10:30,1153,1812,0,7,0,-,-,-,I,
scrutiniCI,17000000000,ESERCIZIO,1045163,-,-,Dato aggiornato al 05/03/2018 - 10:28,1430,1639,0,5,0,-,-,-,I,
scrutiniCI,18000000000,ESERCIZIO,254108,-,-,Dato aggiornato al 05/03/2018 - 10:24,349,394,0,2,0,-,-,-,I,
scrutiniCI,19000000000,ESERCIZIO,2401003,-,-,Dato aggiornato al 05/03/2018 - 10:30,2872,2894,11,12,0,-,-,-,I,
scrutiniCI,21000000000,ESERCIZIO,3268162,-,-,Dato aggiornato al 05/03/2018 - 10:30,3689,4026,7,16,0,-,-,-,I,
scrutiniCI,22000000000,ESERCIZIO,462768,-,-,Dato aggiornato al 05/03/2018 - 10:30,625,681,0,2,0,-,-,-,I,
scrutiniCI,23000000000,ESERCIZIO,1541566,-,-,Dato aggiornato al 05/03/2018 - 10:27,2001,2416,2,8,0,-,-,-,I,
scrutiniCI,24000000000,ESERCIZIO,1896537,-,-,Dato aggiornato al 05/03/2018 - 10:24,2293,2411,4,9,0,-,-,-,I,
scrutiniCI,25000000000,ESERCIZIO,2111649,-,-,Dato aggiornato al 05/03/2018 - 10:18,2348,2887,3,10,0,-,-,-,I,
scrutiniCI,26000000000,ESERCIZIO,1368482,-,-,Dato aggiornato al 05/03/2018 - 10:30,1733,1838,2,6,0,-,-,-,I,
scrutiniCI,28000000000,ESERCIZIO,796817,-,-,Dato aggiornato al 05/03/2018 - 09:50,897,1016,3,6,0,-,-,-,I,
scrutiniCI,01100000000,ESERCIZIO,875371,-,-,Dato aggiornato al 05/03/2018 - 10:30,1141,1182,3,5,0,-,-,-,L,N
scrutiniCI,01200000000,ESERCIZIO,871975,-,-,Dato aggiornato al 05/03/2018 - 10:26,1084,1140,2,4,0,-,-,-,L,N
scrutiniCI,02100000000,ESERCIZIO,850656,-,-,Dato aggiornato al 05/03/2018 - 10:10,1330,1335,3,4,0,-,-,-,L,N
scrutiniCI,02200000000,ESERCIZIO,781935,-,-,Dato aggiornato al 05/03/2018 - 10:01,1148,1158,1,4,0,-,-,-,L,N
